,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
1,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
2,selikhino,RU,50.37,137.51,25.41,61.0,1.0,10.71
3,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
4,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
5,butaritari,KI,3.07,172.79,85.32,60.0,86.0,1.36
6,mareeba,AU,-16.99,145.42,90.21,49.0,0.0,14.99
7,kavieng,PG,-2.57,150.8,79.29,81.0,100.0,4.23
8,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
10,cape town,ZA,-33.93,18.42,61.09,93.0,79.0,10.29
11,caconda,AO,-13.73,15.06,65.97,88.0,100.0,5.53
12,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
13,boddam,GB,57.47,-1.78,33.82,74.0,40.0,9.17
14,chivilcoy,AR,-34.9,-60.02,59.0,91.0,51.0,1.01
15,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
16,ancud,CL,-41.87,-73.83,50.0,93.0,74.0,4.7
17,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
18,rio gallegos,AR,-51.62,-69.22,41.0,70.0,42.0,26.4
21,barrow,US,39.51,-90.4,44.17,65.0,1.0,4.7
22,el cobre,CU,20.05,-75.95,77.0,73.0,40.0,5.82
24,palmer,US,61.6,-149.11,31.39,54.0,1.0,9.17
25,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
26,te anau,NZ,-45.41,167.72,45.88,80.0,69.0,9.4
27,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
28,blagodarnyy,RU,45.1,43.44,54.16,71.0,98.0,7.16
29,khatanga,RU,71.98,102.47,-1.36,96.0,100.0,15.84
30,kaitangata,NZ,-46.28,169.85,51.01,74.0,80.0,10.0
31,maniitsoq,GL,65.42,-52.9,38.3,49.0,100.0,18.7
32,plaine magnien,MU,-20.43,57.65,78.17,78.0,75.0,3.36
34,egvekinot,RU,66.32,-179.17,16.59,79.0,35.0,6.15
35,victoria,SC,-4.62,55.45,84.2,74.0,20.0,8.05
36,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
37,carnarvon,AU,-24.87,113.63,78.8,61.0,0.0,19.46
38,guayaramerin,BO,-10.82,-65.36,73.26,97.0,71.0,2.62
39,conceicao do araguaia,BR,-8.26,-49.26,73.49,87.0,95.0,2.68
40,saint-philippe,RE,-21.36,55.77,77.29,61.0,72.0,3.36
42,nampa,US,43.57,-116.56,37.45,86.0,95.0,3.36
43,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
44,mpulungu,ZM,-8.77,31.12,78.89,42.0,85.0,7.11
45,sao filipe,CV,14.9,-24.5,74.25,82.0,92.0,15.68
46,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
47,georgetown,SH,-7.93,-14.42,74.03,82.0,94.0,17.76
48,saryozek,KZ,44.36,77.98,46.29,49.0,100.0,8.12
49,bubaque,GW,11.28,-15.83,81.97,56.0,19.0,8.59
51,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
52,mbouda,CM,5.63,10.25,64.9,94.0,97.0,2.28
53,saint george,BM,32.38,-64.68,66.96,72.0,90.0,19.46
54,georgetown,SH,-7.93,-14.42,74.03,82.0,94.0,17.76
56,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
57,jining,CN,35.41,116.58,68.04,15.0,0.0,17.54
58,haines junction,CA,60.75,-137.51,-3.86,96.0,0.0,5.44
60,tuktoyaktuk,CA,69.44,-133.03,6.8,65.0,20.0,13.87
61,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
62,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
65,tevaitoa,PF,-16.78,-151.5,78.21,80.0,100.0,15.5
66,mahibadhoo,MV,3.78,72.97,82.58,72.0,15.0,6.87
67,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
68,vila velha,BR,-3.71,-38.6,82.24,74.0,20.0,14.99
69,hithadhoo,MV,-0.6,73.08,82.24,74.0,10.0,11.01
70,lake charles,US,30.23,-93.22,44.73,93.0,1.0,1.86
71,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
72,ndele,CF,8.41,20.65,75.13,50.0,83.0,4.34
73,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
75,namatanai,PG,-3.66,152.44,77.36,90.0,100.0,15.3
76,ndele,CF,8.41,20.65,75.13,50.0,83.0,4.34
77,upernavik,GL,72.79,-56.15,16.0,67.0,75.0,2.8
78,thompson,CA,55.74,-97.86,-0.41,77.0,75.0,14.99
79,tasiilaq,GL,65.61,-37.64,35.6,69.0,100.0,43.62
80,butaritari,KI,3.07,172.79,85.32,60.0,86.0,1.36
83,rocha,UY,-34.48,-54.34,54.73,96.0,6.0,4.63
84,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
85,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
86,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
87,tarakan,ID,3.3,117.63,86.2,65.0,86.0,8.86
88,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
90,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
91,pevek,RU,69.7,170.27,6.44,67.0,0.0,2.68
92,boyolangu,ID,-8.09,111.9,91.65,46.0,29.0,11.79
93,pipri,IN,24.21,83.02,79.77,58.0,16.0,6.44
94,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
95,hermanus,ZA,-34.42,19.24,61.34,87.0,78.0,8.99
96,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
97,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
99,thompson,CA,55.74,-97.86,-0.41,77.0,75.0,14.99
100,baruun-urt,MN,46.68,113.28,41.0,43.0,62.0,9.57
101,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
102,kassala,SD,15.45,36.38,84.61,34.0,0.0,7.0
103,yellowknife,CA,62.45,-114.38,2.7,84.0,90.0,8.05
104,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
105,mortka,RU,59.33,66.02,12.31,92.0,35.0,2.68
106,mahebourg,MU,-20.41,57.7,78.17,78.0,75.0,3.36
107,nivala,FI,63.93,24.96,24.01,94.0,100.0,7.23
109,berlevag,NO,70.86,29.09,30.6,71.0,93.0,8.77
110,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
111,tura,RU,64.27,100.22,-13.8,88.0,77.0,4.09
112,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
114,saint-philippe,RE,-21.36,55.77,77.29,61.0,72.0,3.36
115,novosokolniki,RU,56.35,30.15,50.34,93.0,100.0,10.42
116,esperance,AU,-33.86,121.89,98.6,9.0,34.0,19.46
117,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
119,alice springs,AU,-23.7,133.88,86.0,7.0,0.0,6.93
120,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
121,ponta do sol,PT,32.67,-17.1,63.37,77.0,40.0,12.75
122,stadtallendorf,DE,50.83,9.02,33.4,100.0,90.0,1.72
123,chokurdakh,RU,70.62,147.9,-2.87,96.0,71.0,5.46
124,marrakesh,MA,31.63,-7.99,48.2,70.0,0.0,3.36
126,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
127,saskylakh,RU,71.97,114.09,-3.28,99.0,94.0,0.69
128,sergeyevka,KZ,53.88,67.42,22.21,43.0,0.0,1.36
129,georgetown,SH,-7.93,-14.42,74.03,82.0,94.0,17.76
130,east london,ZA,-33.02,27.91,64.4,88.0,75.0,10.29
131,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
132,kahului,US,20.89,-156.47,76.42,69.0,40.0,6.93
133,fairbanks,US,64.84,-147.72,-1.63,84.0,1.0,3.96
134,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
135,magistralnyy,RU,56.17,107.45,13.59,65.0,61.0,8.01
137,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
138,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
139,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
140,butaritari,KI,3.07,172.79,85.32,60.0,86.0,1.36
141,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
142,thompson,CA,55.74,-97.86,-0.41,77.0,75.0,14.99
143,caravelas,BR,-17.73,-39.27,68.18,95.0,3.0,4.7
144,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
145,torbay,CA,47.66,-52.73,31.78,53.0,5.0,19.46
146,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
147,viedma,AR,-40.81,-62.99,48.88,83.0,30.0,4.32
148,erzin,RU,50.26,95.16,30.07,51.0,100.0,7.43
150,upernavik,GL,72.79,-56.15,16.0,67.0,75.0,2.8
151,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
152,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
154,hermanus,ZA,-34.42,19.24,61.34,87.0,78.0,8.99
155,atuona,PF,-9.8,-139.03,79.79,80.0,2.0,14.25
157,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
158,ostersund,SE,63.18,14.64,16.32,85.0,90.0,6.93
159,odienne,CI,9.51,-7.57,72.57,83.0,50.0,2.75
160,san rafael,AR,-34.61,-68.33,62.87,79.0,0.0,2.33
161,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
162,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
164,chernyakhovsk,RU,54.64,21.81,43.48,91.0,100.0,10.18
165,poronaysk,RU,49.22,143.1,30.87,55.0,0.0,6.42
166,cockburn town,TC,21.46,-71.14,82.15,74.0,2.0,5.37
167,pingdu,CN,36.79,119.95,60.8,36.0,75.0,13.42
168,severo-kurilsk,RU,50.68,156.12,29.37,84.0,93.0,19.6
169,whitecourt,CA,54.14,-115.68,8.6,84.0,90.0,5.82
170,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
172,esperance,AU,-33.86,121.89,98.6,9.0,34.0,19.46
173,hermanus,ZA,-34.42,19.24,61.34,87.0,78.0,8.99
174,aklavik,CA,68.22,-135.01,6.8,55.0,20.0,4.7
176,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
177,tura,RU,64.27,100.22,-13.8,88.0,77.0,4.09
178,nanortalik,GL,60.14,-45.24,34.54,82.0,83.0,6.96
179,zhangye,CN,38.94,100.46,54.73,10.0,0.0,4.38
180,otukpo,NG,7.19,8.13,76.05,90.0,100.0,2.46
181,bambous virieux,MU,-20.34,57.76,78.13,78.0,75.0,3.36
182,avarua,CK,-21.21,-159.78,75.2,78.0,0.0,10.29
183,manokwari,ID,-0.87,134.08,77.49,86.0,100.0,2.75
184,esperance,AU,-33.86,121.89,98.6,9.0,34.0,19.46
185,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
186,hasaki,JP,35.73,140.83,64.65,55.0,20.0,2.24
187,flinders,AU,-34.58,150.85,69.39,35.0,40.0,10.29
188,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
189,tuktoyaktuk,CA,69.44,-133.03,6.8,65.0,20.0,13.87
190,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
192,grindavik,IS,63.84,-22.43,41.0,86.0,75.0,16.11
193,trincomalee,LK,8.58,81.23,92.8,46.0,24.0,2.8
194,georgetown,SH,-7.93,-14.42,74.03,82.0,94.0,17.76
195,belmonte,BR,-26.84,-53.58,68.23,96.0,100.0,2.57
197,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
198,chumikan,RU,54.72,135.31,21.34,41.0,0.0,12.15
199,butaritari,KI,3.07,172.79,85.32,60.0,86.0,1.36
200,saint george,BM,32.38,-64.68,66.96,72.0,90.0,19.46
201,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
202,taoudenni,ML,22.68,-3.98,64.99,29.0,100.0,9.82
203,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
204,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
205,avarua,CK,-21.21,-159.78,75.2,78.0,0.0,10.29
206,anton lizardo,MX,19.05,-95.98,71.6,88.0,90.0,6.93
207,simao,CN,22.76,100.79,68.65,77.0,76.0,2.64
208,ponta do sol,CV,17.2,-25.09,75.2,73.0,75.0,24.16
209,ancud,CL,-41.87,-73.83,50.0,93.0,74.0,4.7
210,iqaluit,CA,63.75,-68.52,6.39,77.0,75.0,19.46
211,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
212,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
213,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
214,lembeni,TZ,-3.78,37.62,74.53,73.0,77.0,8.39
215,tasiilaq,GL,65.61,-37.64,35.6,69.0,100.0,43.62
217,richards bay,ZA,-28.77,32.06,70.14,78.0,61.0,19.17
218,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
219,eureka,US,40.8,-124.16,48.16,93.0,1.0,3.36
220,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
221,hithadhoo,MV,-0.6,73.08,82.24,74.0,10.0,11.01
222,faanui,PF,-16.48,-151.75,77.7,83.0,100.0,11.72
223,srednekolymsk,RU,67.46,153.71,4.1,95.0,100.0,12.19
224,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
225,quthing,LS,-30.4,27.7,60.55,69.0,79.0,3.29
226,nome,US,30.04,-94.42,46.53,87.0,1.0,1.81
227,palanpur,IN,24.17,72.44,84.29,43.0,31.0,8.34
228,qandala,SO,11.47,49.87,80.94,44.0,0.0,8.03
229,los llanos de aridane,ES,28.66,-17.92,64.42,77.0,90.0,20.8
230,khatanga,RU,71.98,102.47,-1.36,96.0,100.0,15.84
231,hamilton,US,46.25,-114.15,44.44,46.0,90.0,3.27
232,buzmeyin,TM,38.05,58.21,50.0,23.0,0.0,2.24
233,farafangana,MG,-22.82,47.83,75.52,87.0,42.0,13.62
234,gasa,BT,27.91,89.73,35.67,39.0,82.0,8.79
236,san rafael,AR,-34.61,-68.33,62.87,79.0,0.0,2.33
237,saint george,BM,32.38,-64.68,66.96,72.0,90.0,19.46
238,qaanaaq,GL,77.48,-69.36,-5.12,39.0,0.0,5.61
240,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
241,atuona,PF,-9.8,-139.03,79.79,80.0,2.0,14.25
242,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
243,geraldton,AU,-28.77,114.6,75.2,60.0,1.0,14.99
245,parli,IN,18.85,76.53,80.91,60.0,0.0,6.33
247,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
248,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
249,sulangan,PH,11.14,123.72,85.77,69.0,36.0,11.14
250,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
251,qasigiannguit,GL,68.82,-51.19,37.4,32.0,80.0,23.04
252,hithadhoo,MV,-0.6,73.08,82.24,74.0,10.0,11.01
253,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
254,manturovo,RU,58.33,44.76,30.07,72.0,98.0,7.65
255,lotoshino,RU,56.23,35.64,45.91,96.0,100.0,12.01
256,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
257,upernavik,GL,72.79,-56.15,16.0,67.0,75.0,2.8
258,norman wells,CA,65.28,-126.83,-11.21,83.0,5.0,4.7
259,antalaha,MG,-14.9,50.28,78.85,69.0,91.0,5.73
260,tasiilaq,GL,65.61,-37.64,35.6,69.0,100.0,43.62
261,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
263,vao,NC,-22.67,167.48,73.51,76.0,10.0,18.66
264,narrabri,AU,-30.33,149.78,78.37,15.0,0.0,14.99
266,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
267,port alfred,ZA,-33.59,26.89,64.0,92.0,100.0,5.99
268,chuy,UY,-33.69,-53.46,61.0,85.0,23.0,8.59
269,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
270,cape town,ZA,-33.93,18.42,60.96,93.0,79.0,10.29
271,moctezuma,MX,29.81,-109.68,65.3,60.0,100.0,1.92
273,eyl,SO,7.98,49.82,79.41,74.0,30.0,16.89
274,lebu,CL,-37.62,-73.65,49.71,89.0,96.0,4.12
275,mahebourg,MU,-20.41,57.7,78.17,78.0,75.0,3.36
276,east london,ZA,-33.02,27.91,64.4,88.0,75.0,10.29
278,ponta do sol,CV,17.2,-25.09,75.2,73.0,75.0,24.16
279,srednekolymsk,RU,67.46,153.71,4.1,95.0,100.0,12.19
280,pevek,RU,69.7,170.27,6.44,67.0,0.0,2.68
281,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
282,viga,PH,16.83,121.79,70.68,98.0,100.0,3.74
284,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
285,machaneng,BW,-23.19,27.49,69.06,76.0,93.0,15.35
286,lorengau,PG,-2.02,147.27,81.01,81.0,100.0,18.81
287,ushuaia,AR,-54.81,-68.31,37.4,86.0,18.0,2.84
288,ebolowa,CM,2.92,11.15,68.86,95.0,75.0,1.92
289,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
290,kayes,ML,14.44,-11.44,77.0,50.0,50.0,6.93
291,cheremkhovo,RU,53.15,103.07,20.32,56.0,94.0,10.2
292,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
293,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
294,cabo san lucas,MX,22.89,-109.91,77.43,53.0,20.0,3.13
295,colac,AU,-38.34,143.59,57.58,87.0,100.0,3.0
296,karratha,AU,-20.74,116.85,84.27,53.0,60.0,11.5
297,sao filipe,CV,14.9,-24.5,74.25,82.0,92.0,15.68
298,cidreira,BR,-30.17,-50.22,70.45,91.0,99.0,17.72
299,ust-kuyga,RU,70.0,135.55,-20.04,99.0,35.0,5.3
300,hermanus,ZA,-34.42,19.24,61.34,87.0,78.0,8.99
301,san patricio,MX,19.22,-104.7,82.4,79.0,41.0,2.15
302,te anau,NZ,-45.41,167.72,45.88,80.0,69.0,9.4
304,manadhoo,MV,5.77,73.38,81.99,69.0,12.0,4.36
305,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
306,atuona,PF,-9.8,-139.03,79.79,80.0,2.0,14.25
307,hilo,US,19.71,-155.08,70.59,74.0,75.0,6.93
308,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
309,mar del plata,AR,-46.43,-67.52,47.73,71.0,99.0,16.44
310,mackay,AU,-21.15,149.2,82.99,35.0,21.0,16.11
311,zhmerynka,UA,49.04,28.11,56.34,93.0,75.0,15.66
312,kavieng,PG,-2.57,150.8,79.29,81.0,100.0,4.23
313,anadyr,RU,64.73,177.51,26.29,92.0,75.0,8.95
314,alto araguaia,BR,-17.32,-53.22,70.36,88.0,100.0,1.79
315,ribeira grande,PT,38.52,-28.7,62.78,84.0,51.0,5.91
316,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
318,senneterre,CA,48.39,-77.24,28.4,92.0,90.0,4.7
319,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
320,komsomolskiy,RU,67.55,63.78,-6.07,100.0,51.0,4.7
321,turukhansk,RU,65.8,87.96,-18.42,98.0,99.0,1.99
322,luderitz,NA,-26.65,15.16,60.8,82.0,20.0,6.93
323,esperance,AU,-33.86,121.89,98.6,9.0,34.0,19.46
324,cabedelo,BR,-6.97,-34.84,77.0,83.0,20.0,6.93
325,chartres,FR,48.45,1.49,41.13,100.0,90.0,9.17
328,chicama,PE,-7.84,-79.15,64.4,82.0,75.0,5.82
329,mananjary,MG,-19.16,46.8,77.59,28.0,34.0,7.02
330,katsuura,JP,33.93,134.5,61.63,51.0,75.0,12.75
331,huarmey,PE,-10.07,-78.15,61.7,85.0,89.0,1.7
332,nemuro,JP,43.32,145.57,44.6,39.0,40.0,6.93
334,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
335,jinka,ET,5.79,36.57,71.08,87.0,94.0,1.19
336,chapais,CA,49.78,-74.86,21.2,92.0,90.0,3.36
338,ayr,AU,-19.58,147.4,84.0,49.0,26.0,11.01
339,port elizabeth,ZA,-33.92,25.57,66.2,77.0,90.0,17.22
340,atuona,PF,-9.8,-139.03,79.79,80.0,2.0,14.25
341,east london,ZA,-33.02,27.91,64.4,88.0,75.0,10.29
342,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
343,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
344,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
345,hermanus,ZA,-34.42,19.24,61.34,87.0,78.0,8.99
346,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
348,jamestown,SH,-15.94,-5.72,68.22,88.0,53.0,16.13
349,nikolskoye,RU,59.7,30.79,41.0,100.0,90.0,6.71
350,urengoy,RU,65.96,78.37,-8.68,96.0,1.0,8.23
351,muros,ES,42.77,-9.06,48.29,93.0,40.0,1.12
352,saint george,BM,32.38,-64.68,66.96,72.0,90.0,19.46
354,victor harbor,AU,-35.55,138.62,67.62,42.0,0.0,6.93
355,bredasdorp,ZA,-34.53,20.04,62.22,82.0,97.0,13.87
356,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
358,nieuw amsterdam,SR,5.88,-55.08,78.71,94.0,58.0,3.36
360,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
361,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
362,ribeira grande,PT,38.52,-28.7,62.78,84.0,51.0,5.91
363,ormara,PK,25.21,64.64,77.67,48.0,77.0,3.44
364,rikitea,PF,-23.12,-134.97,73.85,72.0,97.0,13.06
365,severo-kurilsk,RU,50.68,156.12,29.37,84.0,93.0,19.6
366,jasper,CA,52.88,-118.08,3.56,96.0,100.0,5.91
367,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
368,castro,CL,-42.48,-73.76,50.0,93.0,87.0,4.7
369,luangwa,ZM,-12.88,28.25,79.39,43.0,34.0,11.92
370,provideniya,RU,64.42,-173.23,33.96,98.0,100.0,4.21
371,bethel,US,60.79,-161.76,24.78,85.0,1.0,13.87
372,coquimbo,CL,-29.95,-71.34,53.6,93.0,0.0,2.91
373,ribeira grande,PT,38.52,-28.7,62.78,84.0,51.0,5.91
375,lere,NG,10.39,8.57,70.75,53.0,100.0,3.69
376,hovd,MN,48.01,91.64,35.2,39.0,79.0,4.85
377,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
378,tuatapere,NZ,-46.13,167.69,52.0,84.0,100.0,5.99
379,puerto ayora,EC,-0.74,-90.35,70.0,88.0,16.0,7.0
380,barrow,US,39.51,-90.4,44.1,65.0,1.0,4.7
381,pangoa,PE,-12.12,-73.0,68.5,99.0,100.0,2.73
382,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
383,ahuimanu,US,21.44,-157.84,77.25,54.0,20.0,4.7
386,kapaa,US,22.08,-159.32,76.32,73.0,40.0,5.82
387,busselton,AU,-33.64,115.35,80.6,35.0,15.0,12.41
388,hithadhoo,MV,-0.6,73.08,82.24,74.0,10.0,11.01
389,albany,AU,-35.02,117.88,68.0,68.0,75.0,16.11
390,isangel,VU,-19.55,169.27,84.2,62.0,75.0,11.41
391,abu dhabi,AE,24.47,54.37,77.0,57.0,54.0,11.41
392,east london,ZA,-33.02,27.91,64.4,88.0,75.0,10.29
394,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
395,hobart,AU,-42.88,147.33,59.54,41.0,75.0,14.99
396,mandiana,GN,10.62,-8.7,74.71,75.0,33.0,3.94
398,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
399,vaini,TO,-21.2,-175.2,78.8,83.0,75.0,8.05
400,punta arenas,CL,-53.16,-70.91,41.0,65.0,33.0,13.87
